# Generated by scripts/core/extract-china-terms.py — DO NOT EDIT MANUALLY
# Source: data/terminology/*.yaml (detection blocks)
# Format: cterm\tseverity\ttaiwan\tfork_type
# severity: A=紅燈（必換，計入分數）/ B=黃燈（提示但不計分）
#
U盤	A	隨身碟	B
主板	A	主機板	B
互聯網	A	網際網路	C
交換機	A	交換器	B
人工智能	A	人工智慧	B
信息	A	資訊	B
優盤	A	隨身碟	B
光刻	A	微影	B
內存	A	記憶體	B
台式機	A	桌上型電腦	B
存儲	A	儲存	B
屏幕	A	螢幕	B
展台	A	攤位	B
展商	A	參展廠商	B
帶寬	A	頻寬	B
打印	A	列印	B
打印機	A	印表機	B
接口	A	介面	B
操作系統	A	作業系統	B
數據庫	A	資料庫	B
服務器	A	伺服器	B
標配	A	標準配備	B
模塊	A	模組	B
激光	A	雷射	B
硬件	A	硬體	B
硬盤	A	硬碟	B
移動端	A	行動端	B
端口	A	連接埠	B
筆記本電腦	A	筆記型電腦	B
網卡	A	網路卡	B
芯片	A	晶片	B
視頻	A	影片	C
軟件	A	軟體	B
集成電路	A	積體電路	B
顯卡	A	顯示卡	B
顯存	A	顯示記憶體	B
鼠標	A	滑鼠	B
算法	B	演算法	B
網絡	B	網路	B
質量	B	品質	A
高清	B	高畫質	C
